country_code,country_name,vulnerability_score,normalized_score,vulnerability_tier,oil_imports_mbpd,total_dependency_pct,oil_gdp_share_pct,strategic_reserves_days,economic_flexibility_score,currency_stability_score,raw_score
CHN,China,0.71,10.0,medium,10.8,0.7,2.1,45,0.75,0.7,0.61
IND,India,0.43,6.1,medium,4.7,0.7,2.8,39,0.6,0.6,0.33
KOR,South Korea,0.34,4.8,medium,2.8,0.8,3.5,96,0.7,0.75,0.31
JPN,Japan,0.33,4.6,medium,3.2,0.9,3.2,194,0.65,0.8,0.35
THA,Thailand,0.24,3.4,low,1.2,0.9,4.2,28,0.45,0.55,0.17
SGP,Singapore,0.16,2.3,low,0.9,1.0,3.8,35,0.75,0.85,0.13
ZAF,South Africa,0.03,0.4,low,0.5,0.3,2.8,38,0.55,0.4,0.02
ITA,Italy,0.02,0.3,low,1.4,0.1,1.6,75,0.65,0.6,0.01
ESP,Spain,0.02,0.3,low,1.3,0.2,1.8,120,0.68,0.65,0.02
MYS,Malaysia,0.02,0.3,low,0.4,0.5,2.5,25,0.65,0.7,0.02
USA,United States,0.01,0.1,low,1.8,0.1,0.8,180,0.9,0.95,0.01
CHL,Chile,0.01,0.1,low,0.4,0.2,2.2,42,0.75,0.8,0.01
AUS,Australia,0.01,0.1,low,0.5,0.2,1.1,45,0.85,0.9,0.01
IDN,Indonesia,0.01,0.1,low,0.3,0.2,1.8,20,0.55,0.6,0.0
FRA,France,0.01,0.1,low,1.5,0.1,1.1,85,0.82,0.88,0.01
DEU,Germany,0.01,0.1,low,2.1,0.1,1.4,90,0.85,0.9,0.01
BEL,Belgium,0.0,0.0,low,0.7,0.1,1.2,55,0.8,0.88,0.0
NLD,Netherlands,0.0,0.0,low,0.8,0.1,1.0,65,0.92,0.9,0.0
NZL,New Zealand,0.0,0.0,low,0.1,0.3,1.5,35,0.8,0.85,0.0
BRA,Brazil,0.0,0.0,low,0.0,0.1,1.8,45,0.7,0.5,0.0
CAN,Canada,0.0,0.0,low,0.0,0.0,2.2,35,0.88,0.92,0.0
MEX,Mexico,0.0,0.0,low,0.0,0.1,3.1,28,0.6,0.55,0.0
ARG,Argentina,0.0,0.0,low,0.0,0.1,2.8,22,0.45,0.25,0.0
VEN,Venezuela,0.0,0.0,low,0.0,0.1,25.2,15,0.2,0.1,0.0
COL,Colombia,0.0,0.0,low,0.0,0.1,4.5,18,0.55,0.45,0.0
PER,Peru,0.0,0.0,low,0.1,0.2,1.9,25,0.5,0.5,0.0
GBR,United Kingdom,0.0,0.0,low,0.9,0.1,1.2,68,0.88,0.85,0.0
EGY,Egypt,0.0,0.0,low,0.0,0.1,8.5,45,0.4,0.3,0.0
DZA,Algeria,0.0,0.0,low,0.0,0.1,15.8,30,0.35,0.25,0.0
NGA,Nigeria,0.0,0.0,low,0.0,0.1,12.4,15,0.3,0.2,0.0
